Question,Answer
When did Beyonce start becoming popular?,in the late 1990s
What areas did Beyonce compete in when she was growing up?,singing and dancing
When did Beyonce leave Destiny's Child and become a solo singer?,2003
In what city and state did Beyonce  grow up? ,"Houston, Texas"
In which decade did Beyonce become famous?,late 1990s
In what R&B group was she the lead singer?,Destiny's Child
What album made her a worldwide known artist?,Dangerously in Love
Who managed the Destiny's Child group?,Mathew Knowles
When did Beyoncé rise to fame?,late 1990s
What role did Beyoncé have in Destiny's Child?,lead singer
What was the first album Beyoncé released as a solo artist?,Dangerously in Love
When did Beyoncé release Dangerously in Love?,2003
How many Grammy awards did Beyoncé win for her first solo album?,five
What was Beyoncé's role in Destiny's Child?,lead singer
What was the name of Beyoncé's first solo album?,Dangerously in Love
"After her second solo album, what other entertainment venture did Beyonce explore?",acting
Which artist did Beyonce marry?,Jay Z
"To set the record for Grammys, how many did Beyonce win?",six
For what movie did Beyonce receive  her first Golden Globe nomination?,Dreamgirls
When did Beyonce take a hiatus in her career and take control of her management?,2010
Which album was darker in tone from her previous work?,Beyoncé
"After what movie portraying Etta James, did Beyonce create Sasha Fierce?",Cadillac Records
When did Destiny's Child end their group act?,Jun-05
What was the name of Beyoncé's second solo album?,B'Day
"What was Beyoncé's first acting job, in 2006?",Dreamgirls
Who is Beyoncé married to?,Jay Z
What is the name of Beyoncé's alter-ego?,Sasha Fierce
"In her music, what are some recurring elements in them?","love, relationships, and monogamy"
Time magazine named her one of the most 100 what people of the century?,influential
Which magazine declared her the most dominant woman musician?,Forbes
In which decade did the Recording Industry Association of America recognize Beyonce as the The Top Certified Artist?,2000s
What magazine rated Beyonce as the most powerful female musician in 2015?,Forbes
How did Beyonce describe herself as a feminist?,modern-day feminist
In which years did Time rate Beyonce in the 100 most influential people in the world?,2013 and 2014
How many records has Beyonce sold in her 19 year career?,118 million
How many records did Beyoncé sell as part of Destiny's Child?,60 million
"After leaving Destiny's Child, how many records did Beyoncé release under her own name?",118 million
How many Grammy awards has Beyoncé won?,20
What magazine named Beyoncé as the most powerful female musician for 2015?,Forbes
Beyonce's younger sibling also sang with her in what band?,Destiny's Child
Where did Beyonce get her name from?,her mother's maiden name
What race was Beyonce's father?,African-American
Beyonce's childhood home believed in what religion?,Methodist
Beyonce's father worked as a sales manager for what company?,Xerox
Beyonce's mother worked in what industry?,hairdresser and salon owner
What younger sister of Beyonce also appeared in Destiny's Child?,Solange
Beyonce is a descendent of what Arcadian leader?,Joseph Broussard
What company did Beyoncé's father work for when she was a child?,Xerox
What did Beyoncé's mother own when Beyoncé was a child?,salon
What is the name of Beyoncé's younger sister?,Solange
Beyoncé is a descendant of which Acadian leader?,Joseph Broussard.
Beyoncé was raised in what religion?,Methodist
What town did Beyonce go to school in?,Fredericksburg
Who was the first person to notice Beyonce's singing ability?,Darlette Johnson
Beyonce moved to which town after she left her first elementary school?,Houston
Which of her teachers discovered Beyonce's musical talent?,dance instructor Darlette Johnson
I which church was Beyonce  a member and soloist  in the choir?,St. John's United Methodist Church
What type of school was Parker Elementary School?,music magnet school
Which song did Beyonce sing to win a competition at age 7?,Imagine
What city was Beyoncé's elementary school located in?,Fredericksburg
What was the name of Beyoncé's first dance instructor?,Darlette Johnson
How old was Beyoncé when she won a school talent show?,seven
What choir did Beyoncé sing in for two years?,St. John's United Methodist Church
Who decided to place Beyonce's group in Star Search the talent show?,Arne Frager
"In 1995, who decided to manage the girls singing group?",Beyoncé's father
Who was the first record label to give the girls a record deal?,Elektra Records
Who brought Beyonce to California and enter her group in Star Search?,Arne Frager
In what year did Beyonce's father quit his job to manage her group?,1995
What large record company recorded Beyonce's group's first album?,Sony Music
What record company first signed Beyonce's group and later cut them?,Elektra Records
At what age did Beyonce meet LaTavia Robertson?,age eight
How old was Beyoncé when she met LaTavia Roberson?,eight
What was the name of the first group Beyoncé was a part of?,Girl's Tyme
Who placed Girl's Tyme in Star Search?,Arne Frager
When did Beyoncé begin to manage the girl group?,1995
"Who signed the girl group on October 5, 1995?",Dwayne Wiggins's Grass Roots Entertainment
Which film featured Destiny's Child's first major single?,Men in Black
"For which song, did Destiny's Child take home the grammy award for best R&B performance?","""Say My Name"""
"Who did Beyonce record with for the movie ""The Best Man?""",Marc Nelson
Beyonce's group changed their name to Destiny's Child in what year?,1996
The name Destiny's Child was based on a quote in which book of the Bible?,Book of Isaiah
"Debut song, ""Killing Time"" was featured on what movie's sound track?",Men in Black
What song won Best R&B Performance in the 43 Annual Grammy Awards?,Say My Name
"What singer did Beyonce record a song with for the movie, ''The Best Man""?",Marc Nelson
Where did Destiny's Child get their name from?,Book of Isaiah.
"Destiny's Child song, Killing Time, was included in which film's soundtrack?",Men in Black.
What was Destiny's Child's first major song hit?,"No, No, No"
When did Destiny's Child release their second album?,1999
"Who did Beyoncé sing a duet with for ""The Best Man"" film?",Marc Nelson
What mental health issue did Beyonce go through?,depression
What event occured after she was publicly criticized?,boyfriend left her
Who supported Beyonce through her depression?,her mother
What event caused Beyonce's depression?,split with Luckett and Rober
How long was Beyonce depressed?,a couple of years
Who helped Beyonce fight her depression the most?,her mother
Who replaced Luckett and Roberson in Destiny's Child?,Farrah Franklin and Michelle Williams.
Who was blamed for Luckett and Roberson leaving Destiny's Child?,Beyoncé
Who helped Beyoncé overcome her depression during the years following the Destiny's Child split?,her mother
Which newest member was removed from Destiny's Child?,Farrah Franklin
"""Charlie's Angels"" featured which single from the band members?",Independent Women Part I
"How many weeks did their single ""Independent Women Part I"" stay on top?",eleven
"For what network, did Beyonce land a major movie role in?",MTV
"Their third album, Survivor, sold how many during its first week?","663,000 copies"
What French composer wrote the original opera ''Carmen'' in the 19th century?,Georges Bizet
What album caused a lawsuit to be filed in 2001?,Survivor
Independent Women Part I was on which 2000 film's soundtrack?,Charlie's Angels.
Which film did Beyoncé star in 2001 with Mekhi Phifer?,Carmen: A Hip Hopera
What was the name of Destiny Child's third album?,Survivor
Who filed a lawsuit over Survivor?,Luckett and Roberson
When did Destiny's Child announce their hiatus?,Oct-01
"Who did Beyonce star with in the movie, ""Austin Powers in Goldmember""?",Mike Myers
"Which three countries did Beyonce's song ""Work It Out"" achieve top ten status?","UK, Norway, and Belgium"
Beyonce starred with Cuba Gooding Jr. in which film?,The Fighting Temptations
"Who did Beyonce record the lead single with in the movie ""The Fighting Temptations""?",Missy Elliott
Which other song from the soundtrack did better in the charts?,Summertime
What film did Beyonce appear in with Mike Myers?,Austin Powers in Goldmember
"What large amount did the movie ""Goldmember"" gross?",73 million
"What genre of movie did Beyonce star in with Cuba Gooding, Jr?",musical comedy
What song was the lead single from the film's sound track?,Fighting Temptations
"How did the critics view the movie, ''The Fighting Temptations''?",mixed reviews
What film did Beyoncé star in with Mike Myers in 2002?,Austin Powers in Goldmember
What was Beyoncé's character called in Austin Powers in Goldmember?,Foxxy Cleopatra
Which song did Beyoncé release as the lead single for Austin Powers in Goldmember's soundtrack?,Work It Out
"What musical comedy did Beyoncé star in along with Cuba Gooding, Jr. in 2003?",The Fighting Temptations
What song did Beyoncé release as the lead single from The Fighting Tempations?,Fighting Temptations
What was the highest Beyonce's first solo recording achieved in the Billboard Hot 100?,number four
Beyonce's first album by herself was called what?,Dangerously in Love
"How many has ""Dangerously in Love"" sould worldwide since its debut?",11 million
Beyonce's first number one song was which song?,Crazy in Love
How many top five singles came from her first album?,four
Beyonce's first solo album in the U.S. with what artist in the lead single?,Jay Z
What solo album did Beyonce release in 2003?,Dangerously in Love
" The album, Dangerously in Love  achieved what spot on the Billboard Top 100 chart?",number four
"""The Closer I get to You"" was recorded with which artist?",Luther Vandross
Which artist was associated with Beyoncé's premiere solo recording?,Jay Z
When did Beyoncé release her first solo album?,"June 24, 2003"
What is the lead single on Beyoncé's first album?,Crazy in Love
Who helped Beyoncé earn a Grammy award for Best R&B Performance by a Duo or Group at the 46th annual Grammy Awards?,Luther Vandross.
How many awards did Beyoncé win at the 46th Grammy's Awards?,five.
Destiny's Child's final album was named what?,Destiny Fulfilled
Destiny's Child got a star on the Hollywood Walk of Fame in what year?,2006
In what year did Beyonce embark on her Dangerously in Love tour of Europe?,Nov-03
What was the name of the final album of Destiny's Child?,Destiny Fulfilled
It was announced that Destiny's Child would  disban in what European city?,Barcelona
When did Destiny's Child get their star on the Hollywood Walk of Fame?,Mar-06
What was the name of Beyoncé's European start that started in November 2003?,Dangerously in Love Tour
Who did Beyoncé tour with for the Verizon Lades First Tour?,Missy Elliott and Alicia Keys
"What major event did Beyoncé perform at on February 1, 2004?",Super Bowl XXXVIII
What is the name of the final studio album from Destiny's Child?,Destiny Fulfilled.
How many albums did Beyonce sell in the first week when she released her second album?,"541,000"
The lead single from the album was which song?,Déjà Vu
"How many countries did her song ""Irreplaceable"" get number one status in?",five
How many singles did her second album produce?,five
What birthday did Beyonce's album B'Day celebrate?,twenty-fifth birthday
"What artist did Beyonce duet with in the single, ""Deja Vu''?",Jay Z
How high did ''Deja Vu'' climb on the Billboard chart?,top five
What is the name of Beyoncé's second album?,B'Day
How many copies did B'Day sell during the first week of its release?,"541,000"
"Who collaborated with Beyoncé on the single, Deja Vu?",Jay Z
Which single from B'Day was only released in the U.K.?,Green Light
What movie did Beyonce act in 2006?,The Pink Panther
Her second movie Beyonce did was what film?,Dreamgirls
"The single, ""Listen"" was featured in which movie?",Dreamgirls
Beyonce's first world tour was when?,2007
How much money did Beyonce's tour make in 2007?,24 million
How many millions of dollars did ''The Pink Panther'' gross world-wide?,158.8 million
What did Beyonce call her first concert tour?,The Beyoncé Experience
Who was Beyonce's duet with in ''Beautiful Liar''?,Shakira
Which film did Beyoncé star with Steve Martin in?,The Pink Panther
Beyoncé's role in Dreamgirls was based on what pop singer?,Diana Ross.
What was the lead single for the Dreamgirls soundtrack?,Listen
What was the name of Beyoncé's first international tour?,The Beyoncé Experience
What pop singer did a duet with Beyoncé on Beautiful Liar?,Shakira
Beyonce got married in 2008 to whom?,Jay Z
"Her third album, ""I am...Sasha Fierce"" was released when?","November 18, 2008"
"For which decade, did Beyonce have more top ten songs than any other woman?",2000s
Which singer beat out Beyonce for best video performance?,Taylor Swift
"In 2009, Beyonce started her second world tour and grossed how much money?",119.5 million
How did she reveal the marriage?,in a video montage
When did Beyonce begin her second world tour?,Mar-09
Who beat out Beyonce for Best Female Video ?,Taylor Swift
How much did the second world tour make in dollars?,119.5 million
When did Beyoncé get married?,"April 4, 2008"
Who did Beyoncé marry?,Jay Z.
Who is Beyoncé's alter ego?,Sasha Fierce
The video for what song won Beyoncé the 2009 MTV Video of the Year award?,Single Ladies
Which prominent star felt the 2009 Female Video of the Year award should have went to Beyoncé instead of Taylor Swift?,Kanye West
"Beyonce portrayed which character in the film, Cadillac Records?",Etta James
Beyonce gave her entire salary from Cadillac Records to which organization?,Phoenix House
Which song did Beyonce sing at the first couple's inaugural ball? ,At Last
"What genre of film was the movie, Obsessed, in which Beyonce starred in?",thriller
"A fight scene from the movie, Obsessed, won which award for Beyonce?",MTV Movie Award for Best Fight
Where did Beyonce donate her salary from the movie Cadillac Records?,Phoenix House
What thriller film did Beyonce star in?,Obsessed
What was the name of the woman she played in Obsessed?,Sharon Charles
How much more that the buget did the film gross?,60 million
Which singer did Beyoncé portray in Cadillac Records?,Etta James
Which organization received Beyoncé's entire Cadillac Records salary?,Phoenix House
"Where did Beyoncé perform on January 20, 2009?",the First Couple's first inaugural ball.
Which thriller film did Beyoncé star in with Ali Larter?,Obsessed.
How many awards was Beyonce nominated for at the 52nd Grammy Awards?,ten
Beyonce tied with which artist for most nominations by a female artist?,Lauryn Hill
"In 2010, Beyonce worked with which other famous singer?",Lady Gaga
"How many number one singles did Beyonce now have after the song ""Telephone""?",six
Beyonce tied who for most number one singles by a female?,Mariah Carey
Beyonce received how many nominations at the 52nd Annual Grammy Awards?,ten nominations
What song was the sixth first place song for Beyonce?,Telephone
Who else appeared with Beyonce in Telephone?,Lady Gaga
Who did they tie with for six top songs?,Mariah Carey
Who did Beyonce tie with for the most nominations in a year?,Lauryn Hill
How many nominations did Beyoncé receive at the 52nd Grammy Awards ceremony?,ten
Who did Beyoncé tie with for the most Grammy nominations for female artists?,Lauryn Hill
"Beyoncé was a featured artist on which singer's hit, Telephone?",Lady Gaga
Who did Beyoncé and Lady Gaga tie with for the most number one hits since 1992?,Mariah Carey
Beyonce would take a break from music in which year?,2010
Which year did Beyonce and her father part business ways?,2010
Which famous landmark did Beyonce see in China?,the Great Wall of China
In what year did Beyonce have her hiatus?,2010
Who inspired this hiatus?,her mother
When did she stop using her father as a manager?,During the break
How long did the hiatus last?,nine months
What did Beyoncé announce in January 2010?,a hiatus
Who suggested the hiatus for Beyoncé?,her mother
Who did Beyoncé part ways with during her hiatus?,her father
How long did her hiatus last?,nine months
In which year was reports about Beyonce performing for Muammar Gaddafi surface?,2011
Who did Beyonce donate the money to earned from her shows?,Clinton Bush Haiti Fund
Beyonce became the first female artist to perform solo in 20 years at which stage?,the 2011 Glastonbury Festival
Which organization did Beyonce's spokespeople confirm her donations to?,The Huffington Post
Beyonce was listed in 2011 as the highest paid performer per what?,minute
Hoe did everyone learn that Beyonce performed for Kaddafi?,documents obtained by WikiLeaks
When did this leak happen?,2011
Who did she tell about the donation?,The Huffington Post
Where did Beyonce perform in 2011?,Glastonbury Festival
Who did Beyoncé perform privately for in 2011?,Muammar Gaddafi.
Who released the information about Beyoncé's performance for the Libyan ruler?,WikiLeaks
Which organization did Beyoncé donate her pay for the private performance to?,Clinton Bush Haiti Fund.
Beyoncé was the first female singer to headline what at the 2011 Glastonbury Festival?,Pyramid stage
Beyonce's fourth album debuted in what year?,2011
Which single had the most success from that album?,Love on Top
Beyonce won an award for which activity in 2011?,writing
"in 2011, Beyonce performed for four nights where?",New York's Roseland Ballroom
When was Beyonce's forth album released?,"June 28, 2011"
How many copies did the album sell in its first week?,"310,000 copies"
Who awarded Beyonce and award for writing?,New York Association of Black Journalists
When did she perform at the Roseland ballroom?,2011
What is the name of Beyoncé's fourth studio album?,4
When was 4 released?,"June 28, 2011"
How many copies of 4 sold in the first week?,"310,000"
What magazine did Beyoncé write a story for about her earlier hiatus?,Essence
Where did Beyoncé perform for four nights of standing room only concerts in 2011?,New York's Roseland Ballroom
When did Beyonce have her first child?,"January 7, 2012"
Where did Beyonce give birth to her first child?,Lenox Hill Hospital
Beyonce's first child is named what?,Blue Ivy Carter
Her first appearance performing since giving birth was where?,Revel Atlantic City's Ovation Hall
When did Beyonce have her first child?,"January 7, 2012"
What was the child's name?,Blue Ivy Carter
How long was it after the birth of her child before she performed again?,Five months
How many nights did she perform at Atlantic City?,four nights
When did Beyoncé give birth to a daughter?,"January 7, 2012"
What did Beyoncé name her daughter?,Blue Ivy Carter
Where was Blue Ivy born?,Lenox Hill Hospital in New York.
Where was Beyoncé's first public performance after giving birth?,Revel Atlantic City's Ovation Hall
How many nights did Beyoncé play at the resort?,four
Destiny's Child released a compilation album about which topic?,romance
Beyonce's documentary movie was called what?,Life Is But a Dream
What did Beyonce sign in 2013?,global publishing agreement
"When did Destiny's Child release its album ""Love Songs""?",Jan-13
What was the title of the added track in Love Songs?,Nuclear
At whose inauguration did she perform the National Anthem?,President Obama
How many Tweets per minute did the half time show get?,"268,000 tweets per minute"
When did Destiny's Child release Love Songs?,Jan-13
What was the new track for Love Songs?,Nuclear
What did Beyoncé sing at President Obama's second inauguration?,the American national anthem
What event did Beyoncé perform at one month after Obama's inauguration? ,Super Bowl XLVII halftime show
What is the name of Beyoncé's documentary film?,Life Is But a Dream
"How many dates did Beyonce's ""The Mrs. Carter Show"" entail?",132
One of Beyonce's most successful tours yet was which one?,The Mrs. Carter Show
"Beyonce wrote which song for the movie ""Epic""?",Rise Up
Beyonce voiced a character in which animated film?,Epic
When did the tour begin?,Apr-15
Of what event was Beyonce honorary chair?,2013 Met Gala
What part did she voice for the movie Epic?,Queen Tara
What song did Beyonce record for the film Epic?,Rise Up
What was the name of Beyoncé's tour that she started on April 15?,The Mrs. Carter Show World Tour
How many dates did the Mrs. Carter Show World Tour have?,132
Which Amy Winehouse song did Beyoncé cover and release in May 2014?,Back to Black
Beyoncé was an honorary chair of the 2013 what?,Met Gala.
"Which character in the film, Epic, was voiced by Beyoncé?",Queen Tara
Where did Beyonce release her 5th album to a huge surprise?,the iTunes Store
When did Beyonce get her fifth consecutive number one hit album?,"December 13, 2013"
Where was the album released? ,the iTunes Store
Who joined Beyonce on her On The Run Tour?,Jay Z
Who reported Beyonce to e the top earning woman in music?,Forbes
How much more were her earnings that the year before?,more than double her earnings
When did Beyoncé release her fifth studio album?,"December 13, 2013"
How many digital copies of her fifth album did Beyoncé sell in six days?,one million
What song on Beyoncé's fifth studio album featured her husband?,Drunk in Love
What was the name of the tour featuring both Beyoncé and Jay Z?,On the Run Tour.
How many awards did Beyonce take home with her at the 57th Grammy Awards?,three
Which artist beat Beyonce out for Album of the year?,Beck
Which magazine did Beyonce pose on the cover for in August of 2015?,Vogue
Beyonce would perform with who at Superbowl 50?,Coldplay
Beyonce took home how many awards at the 57th Grammy Awards?,three
Beyonce lost to which artist for Album of the year?,Beck
Who did Beyonce perform next to during Superbowl 50?,Coldplay
"If Beyonce won three Grammies in 2015, how many was she nominated for?",six awards
On what magazine was she the cover model?,Vogue
Who would she perform with at Superbowl 50?,Coldplay
With what British band did Beyonce perform on their album?,Coldplay
How many awards was Beyoncé nominated for at the 57th annual Grammys?,six
How many awards did Beyoncé win at the 57th Annual Grammys?,three
Beyoncé lost the Album of the Year award to which entertainer?,Beck
"Which magazine did Beyoncé pose for the cover, making her the first black female artist to do so?",Vogue
Who did Beyonce perform with at Super Bowl 50?,Coldplay
"Beyonce released the song ""Formation"" on which online music service?",Tidal
Beyonce's new single released before the super bowl was called what?,Formation
"What day did Beyonce release her single, Formation?","February 6, 2016"
How was the single released?,exclusively
What was the name of the streaming service?,Tidal
What kind of platform was the song released?,music streaming
When did Beyoncé release Formation?,"February 6, 2016"
"Where did Beyoncé exclusively release her single, Formation?",Tidal
"As of April 2014, how many albums have Jay Z and Beyonce sold together?",300 million
Where did Beyonce become pregnant?,Paris
"Beyonce described what as the ""hardest thing she had to endure""?",miscarriage
Who did Beyonce have a relationship with?,Jay Z
When were Beyonce and Jay Z married?,"April 4, 2008"
Together how records have they sold ?,300 million
How did Beyonce deal with the miscarriage of her child?,wrote music
Where was Beyonce when she became pregnant?,Paris
"In which music video did Beyoncé star as Jay Z's girlfriend, creating speculation about their relationship?",'03 Bonnie & Clyde
When were Beyoncé and Jay Z married?,"April 4, 2008"
How many records combined have Beyoncé and Jay Z sold?,300 million
What did Beyoncé describe as the saddest thing in her life?,miscarriage
Where did Beyoncé get pregnant?,Paris.
Jay Z and Beyonce attended which event together in August of 2011?,MTV Video Music Awards
Beyonce confirmed what after performing one of her songs?,her pregnancy
How many people watched the 2011 MTV Music Awards?,12.4 million
Where did she announce her pregnancy?,2011 MTV Video Music Awards
Why was the broadcast the most-watched in history?,Her appearance
What even was recorded in the Guinness World Records?,most tweets per second
"What was the most searched term in week of Aug 29, 2011?",Beyonce pregnant
What song did she perform at the MTV Awards?,Love on Top
Where did Beyoncé announce her pregnancy?,2011 MTV Video Music Awards
What song did Beyoncé sing prior to announcing her pregnancy?,Love on Top
How many people watched the 2011 MTV Video Music Awards?,12.4 million
"What was the most searched term on Google for the week of August 29, 2011?",Beyonce pregnant
Jay Z has a website called what?,Lifeandtimes.com
Which song by Jay Z talked about the pregnancy struggles?,Glory
What was the name of Beyonce's daughter?,Blue Ivy Carter
At what hospital was the baby delivered?,Lenox Hill Hospital
What was the named of the song  dedicated to the child?,Glory
What does B.I.C. stand for?,Blue Ivy Carter
Who was credited for her cries on the song?,B.I.C.
When did Beyoncé give birth to her daughter?,"January 7, 2012"
What did Beyoncé and Jay Z name their daughter?,Blue Ivy Carter
What song did Jay Z release two days after Blue Ivy was born?,Glory
What is included at the end of Glory?,Blue Ivy's cries
How was Blue Ivy credited on Glory?,B.I.C.
Beyonce and Jay-Z went to a rally for the acquittal of whom?,George Zimmerman
Beyonce sang which song during the 2009 presidential inauguration?,America the Beautiful
How much did Beyonce raise for Obama at the 40/40 Club?,4 million
"What did she endorse on March 26, 2013?",same sex marriage
What did they attend in July 2013?,a rally
What did she sing at the 2009 Presidential Inauguration?,America the Beautiful
What song did Beyoncé perform at the 2009 inauguration of Obama?,America the Beautiful
What song did Beyoncé perform at the first inaugural dance for the Obamas.,At Last
What social media platform did Beyoncé upload a picture of her paper ballot on?,Tumblr
"When did Beyoncé endorse on March 26, 2013?",same sex marriage
Beyonce did an interview with which magazine and was asked about feminism?,Vogue
Beyonce supported which campaign that encourages leadership in girls?,Ban Bossy campaign
Where was Beyonce quoted as saying that she is a modern-day feminist?,Vogue
When did she say the she is a feminist?,Apr-13
What campaign did she contribute to?,Ban Bossy
What song did she release in 2013 in response to a speech?,Flawless
What does Ban Bossy encourage?,leadership in girls
"Beyoncé used words from which Nigerian author in her song, Flawless?",Chimamanda Ngozi Adichie
Which campaign does Beyoncé contribute to that encourages leadership in females?,Ban Bossy
Beyonce signed a letter with who in 2015?,the ONE Campaign
An important UN summit took place when?,Sep-15
The letter Beyonce signed focused on what issue?,women
What had to be set in developing funding?,priorities
When did Beyonce sign a letter for ONE Campaign?,2015
To whom was the letter addressed?,Angela Merkel and Nkosazana Dlamini-Zuma
Who are these women?,head of the G7 in Germany
When will they meet?,Sep-15
Who did Beyoncé sign a letter for in 2015?,the ONE Campaign
